,TEL
2007-10-29,17052480000
2007-10-30,17360000000
2007-10-31,17692320000
2007-11-01,17444320000
2007-11-02,17543520000
2007-11-05,16744959999
2007-11-06,16749920000
2007-11-07,16363040000
2007-11-08,16437440000
2007-11-09,16154720000
2007-11-12,15554560000
2007-11-13,16045600000
2007-11-14,16120000000
2007-11-15,16417600000
2007-11-16,17369920000
2007-11-19,17384800000
2007-11-20,17459200000
2007-11-21,17364960000
2007-11-23,17573280000
2007-11-26,17181440000
2007-11-27,17102079999
2007-11-28,17702240000
2007-11-29,18153600000
2007-11-30,18545440000
2007-12-03,18480960000
2007-12-04,18252800000
2007-12-05,18252800000
2007-12-06,18664480000
2007-12-07,18560320000
2007-12-10,18540480000
2007-12-11,18108960000
2007-12-12,18421440000
2007-12-13,18332160000
2007-12-14,18123840000
2007-12-17,18118880000
2007-12-18,18257760000
2007-12-19,18252800000
2007-12-20,18143680000
2007-12-21,18490880000
2007-12-24,18818240000
2007-12-26,18833120000
2007-12-27,18575200000
2007-12-28,18370800000
2007-12-31,18045180000
2008-01-02,17870220000
2008-01-03,17826480000
2008-01-04,17262720000
2008-01-07,16650359999
2008-01-08,15999120000
2008-01-09,16217819999
2008-01-10,16436520000
2008-01-11,16242120000
2008-01-14,16679520000
2008-01-15,16120620000
2008-01-16,16383060000
2008-01-17,15897060000
2008-01-18,15678359999
2008-01-22,15425640000
2008-01-23,15265260000
2008-01-24,15848460000
2008-01-25,16149779999
2008-01-28,16212960000
2008-01-29,15945660000
2008-01-30,16237259999
2008-01-31,16397640000
2008-02-01,16470540000
2008-02-04,16446240000
2008-02-05,15848460000
2008-02-06,16888500000
2008-02-07,17068319999
2008-02-08,16815600000
2008-02-11,17068319999
2008-02-12,17107200000
2008-02-13,17423100000
2008-02-14,17107200000
2008-02-15,17048880000
2008-02-19,17097480000
2008-02-20,17010000000
2008-02-21,16601759999
2008-02-22,16781580000
2008-02-25,16854480000
2008-02-26,16849620000
2008-02-27,16737839999
2008-02-28,16276140000
2008-02-29,15989400000
2008-03-03,16013700000
2008-03-04,15994259999
2008-03-05,15887339999
2008-03-06,15780420000
2008-03-07,15760980000
2008-03-10,15274980000
2008-03-11,15639480000
2008-03-12,15663779999
2008-03-13,15590880000
2008-03-14,15420780000
2008-03-17,15153480000
2008-03-18,15620040000
2008-03-19,15556859999
2008-03-20,15969960000
2008-03-24,16426799999
2008-03-25,16334460000
2008-03-26,16543440000
2008-03-27,16266420000
2008-03-28,16170740000
2008-03-31,16404960000
2008-04-01,16481439999
2008-04-02,16730000000
2008-04-03,16715660000
2008-04-04,17131520000
2008-04-07,17112399999
2008-04-08,16744340000
2008-04-09,16696540000
2008-04-10,16605720000
2008-04-11,16318920000
2008-04-14,16457540000
2008-04-15,16271120000
2008-04-16,16691760000
2008-04-17,16911640000
2008-04-18,17623860000
2008-04-21,17389640000
2008-04-22,16969000000
2008-04-23,17241460000
2008-04-24,17776820000
2008-04-25,17977580000
2008-04-28,17772040000
2008-04-29,17987140000
2008-04-30,17881980000
2008-05-01,19096100000
2008-05-02,19029180000
2008-05-05,18732820000
2008-05-06,18446020000
2008-05-07,18116200000
2008-05-08,18278720000
2008-05-09,18235700000
2008-05-12,18321740000
2008-05-13,18207020000
2008-05-14,18039720000
2008-05-15,17886760000
2008-05-16,18723260000
2008-05-19,18670680000
2008-05-20,18345640000
2008-05-21,18178340000
2008-05-22,18063620000
2008-05-23,18226140000
2008-05-27,18713700000
2008-05-28,18823640000
2008-05-29,18876220000
2008-05-30,19177360000
2008-06-02,19029180000
2008-06-03,18665900000
2008-06-04,18608540000
2008-06-05,18637220000
2008-06-06,18302620000
2008-06-09,18541620000
2008-06-10,18307400000
2008-06-11,17896320000
2008-06-12,18168780000
2008-06-13,18426900000
2008-06-16,18689800000
2008-06-17,18316960000
2008-06-18,17781600000
2008-06-19,17991920000
2008-06-20,17595180000
2008-06-23,17327500000
2008-06-24,17690780000
2008-06-25,17561720000
2008-06-26,17016800000
2008-06-27,16537770000
2008-06-30,16441380000
2008-07-01,16271550000
2008-07-02,16244010000
2008-07-03,16129260000
2008-07-07,16115490000
2008-07-08,16147620000
2008-07-09,16032870000
2008-07-10,16225650000
2008-07-11,16023689999
2008-07-14,15840090000
2008-07-15,15945660000
2008-07-16,16161390000
2008-07-17,16946280000
2008-07-18,16698420000
2008-07-21,16556130000
2008-07-22,16941689999
2008-07-23,17166600000
2008-07-24,16638750000
2008-07-25,16698420000
2008-07-28,16299090000
2008-07-29,16326630000
2008-07-30,15486660000
2008-07-31,15211260000
2008-08-01,15027660000
2008-08-04,14903730000
2008-08-05,15215850000
2008-08-06,15514199999
2008-08-07,15344370000
2008-08-08,15743699999
2008-08-11,15941069999
2008-08-12,15918120000
2008-08-13,15720750000
2008-08-14,15899760000
2008-08-15,15780420000
2008-08-18,15821730000
2008-08-19,15766650000
2008-08-20,15348959999
2008-08-21,15234209999
2008-08-22,15101100000
2008-08-25,14733900000
2008-08-26,14688000000
2008-08-27,14720130000
2008-08-28,15101100000
2008-08-29,15105689999
2008-09-02,15073560000
2008-09-03,14591610000
2008-09-04,14022450000
2008-09-05,13999500000
2008-09-08,13949010000
2008-09-09,13829670000
2008-09-10,13848030000
2008-09-11,13802130000
2008-09-12,13719510000
2008-09-15,13003470000
2008-09-16,12870360000
2008-09-17,12347100000
2008-09-18,12347100000
2008-09-19,13838850000
2008-09-22,13379850000
2008-09-23,13017240000
2008-09-24,12966750000
2008-09-25,13012650000
2008-09-26,12572010000
2008-09-29,11475000000
2008-09-30,12695940000
2008-10-01,12672990000
2008-10-02,11823840000
2008-10-03,11773350000
2008-10-06,11530080000
2008-10-07,10607490000
2008-10-08,10166850000
2008-10-09,9634410000
2008-10-10,9349830000
2008-10-13,10244880000
2008-10-14,10336680000
2008-10-15,9455400000
2008-10-16,9547200000
2008-10-17,9244260000
2008-10-20,9620640000
2008-10-21,9437040000
2008-10-22,9157050000
2008-10-23,8904600000
2008-10-24,8119710000
2008-10-27,7747920000
2008-10-28,8555760000
2008-10-29,8151840000
2008-10-30,8541990000
2008-10-31,8922960000
2008-11-03,9129510000
2008-11-04,9326880000
2008-11-05,8725590000
2008-11-06,7702020000
2008-11-07,8115120000
2008-11-10,7344000000
2008-11-11,6485670000
2008-11-12,6012900000
2008-11-13,6820740000
2008-11-14,6655500000
2008-11-17,6476490000
2008-11-18,6683040000
2008-11-19,6435180000
2008-11-20,5953230000
2008-11-21,6701400000
2008-11-24,6885000000
2008-11-25,7022700000
2008-11-26,7316460000
2008-11-28,7564320000
2008-12-01,6967620000
2008-12-02,7073190000
2008-12-03,7770870000
2008-12-04,7389900000
2008-12-05,7926930000
2008-12-08,8105940000
2008-12-09,7784640000
2008-12-10,7747920000
2008-12-11,7288920000
2008-12-12,7371539999
2008-12-15,7123680000
2008-12-16,7633170000
2008-12-17,7623990000
2008-12-18,7550550000
2008-12-19,7215480000
2008-12-22,7091550000
2008-12-23,6990570000
2008-12-24,6999750000
2008-12-26,6975340000
2008-12-29,6947860000
2008-12-30,7314260000
2008-12-31,7424180000
2009-01-02,7891340000
2009-01-05,7767680000
2009-01-06,8037900000
2009-01-07,8015000000
2009-01-08,7808900000
2009-01-09,7749360000
2009-01-12,7781419999
2009-01-13,7337160000
2009-01-14,6957020000
2009-01-15,7263880000
2009-01-16,7245560000
2009-01-20,6902060000
2009-01-21,7135640000
2009-01-22,7131060000
2009-01-23,7163120000
2009-01-26,7076100000
2009-01-27,7208920000
2009-01-28,6892900000
2009-01-29,6760080000
2009-01-30,6485280000
2009-02-02,6288340000
2009-02-03,6311240000
2009-02-04,6398260000
2009-02-05,6563140000
2009-02-06,6764660000
2009-02-09,6700540000
2009-02-10,6311240000
2009-02-11,6366200000
2009-02-12,6279180000
2009-02-13,6343300000
2009-02-17,5862400000
2009-02-18,5624240000
2009-02-19,5299060000
2009-02-20,5042580000
2009-02-23,4648700000
2009-02-24,4868540000
2009-02-25,4735720000
2009-02-26,4465500000
2009-02-27,4341840000
2009-03-02,4099099999
2009-03-03,4062459999
2009-03-04,4167800000
2009-03-05,3659420000
2009-03-06,3609040000
2009-03-09,3407520000
2009-03-10,3805980000
2009-03-11,3970860000
2009-03-12,4154060000
2009-03-13,4355580000
2009-03-16,4291459999
2009-03-17,4213599999
2009-03-18,4538780000
2009-03-19,4831900000
2009-03-20,4740300000
2009-03-23,5065480000
2009-03-24,4909760000
2009-03-25,5033420000
2009-03-26,5560120000
2009-03-27,5486840000
2009-03-30,4827320000
2009-03-31,5056320000
2009-04-01,5129600000
2009-04-02,5876140000
2009-04-03,5871560000
2009-04-06,5757060000
2009-04-07,5477680000
2009-04-08,5628820000
2009-04-09,6146360000
2009-04-13,5986060000
2009-04-14,6031860000
2009-04-15,5954000000
2009-04-16,6535660000
2009-04-17,7433340000
2009-04-20,6847100000
2009-04-21,7167700000
2009-04-22,7346320000
2009-04-23,7369220000
2009-04-24,7808900000
2009-04-27,7685240000
2009-04-28,7731040000
2009-04-29,8189040000
2009-04-30,7987520000
2009-05-01,8124919999
2009-05-04,8495900000
2009-05-05,8399720000
2009-05-06,8308120000
2009-05-07,8047060000
2009-05-08,8221100000
2009-05-11,7996680000
2009-05-12,8175300000
2009-05-13,7456240000
2009-05-14,7827220000
2009-05-15,7694400000
2009-05-18,8005840000
2009-05-19,8111180000
2009-05-20,8024160000
2009-05-21,7717300000
2009-05-22,7721880000
2009-05-26,8047060000
2009-05-27,7973780000
2009-05-28,7978360000
2009-05-29,7955460000
2009-06-01,8633300000
2009-06-02,8495900000
2009-06-03,8605820000
2009-06-04,9338620000
2009-06-05,9095880000
2009-06-08,9072980000
2009-06-09,9141680000
2009-06-10,9095880000
2009-06-11,9182900000
2009-06-12,9100460000
2009-06-15,8821080000
2009-06-16,9150840000
2009-06-17,9004280000
2009-06-18,9301980000
2009-06-19,9260760000
2009-06-22,8743220000
2009-06-23,8514220000
2009-06-24,8335600000
2009-06-25,8244000000
2009-06-26,8422650000
2009-06-29,8482320000
2009-06-30,8532810000
2009-07-01,8477729999
2009-07-02,8193150000
2009-07-06,7798409999
2009-07-07,7656120000
2009-07-08,7669890000
2009-07-09,7683659999
2009-07-10,7656120000
2009-07-13,7812180000
2009-07-14,7940700000
2009-07-15,8606250000
2009-07-16,8656740000
2009-07-17,8615430000
2009-07-20,8881650000
2009-07-21,8886240000
2009-07-22,8936730000
2009-07-23,9313110000
2009-07-24,9409500000
2009-07-27,9492120000
2009-07-28,9482940000
2009-07-29,9721620000
2009-07-30,9914400000
2009-07-31,9854730000
2009-08-03,10134720000
2009-08-04,10198980000
2009-08-05,10088820000
2009-08-06,9955710000
2009-08-07,10217340000
2009-08-10,10221930000
2009-08-11,10217340000
2009-08-12,10456020000
2009-08-13,10690110000
2009-08-14,10437660000
2009-08-17,10226520000
2009-08-18,10414710000
2009-08-19,10635030000
2009-08-20,10731420000
2009-08-21,10809450000
2009-08-24,10763550000
2009-08-25,10781910000
2009-08-26,10703880000
2009-08-27,10676340000
2009-08-28,10749780000
2009-08-31,10474380000
2009-09-01,10088820000
2009-09-02,9914400000
2009-09-03,10309140000
2009-09-04,10524870000
2009-09-08,10657980000
2009-09-09,10924200000
2009-09-10,10988460000
2009-09-11,10919610000
2009-09-14,10818630000
2009-09-15,10951740000
2009-09-16,10850760000
2009-09-17,10800270000
2009-09-18,10924200000
2009-09-21,10694700000
2009-09-22,10846170000
2009-09-23,10662570000
2009-09-24,10355040000
2009-09-25,10355040000
2009-09-28,10570770000
2009-09-29,10134720000
2009-09-30,10226520000
2009-10-01,9946530000
2009-10-02,9694080000
2009-10-05,9795060000
2009-10-06,9928170000
2009-10-07,9914400000
2009-10-08,10038330000
2009-10-09,10377990000
2009-10-12,10368810000
2009-10-13,10332090000
2009-10-14,10951740000
2009-10-15,10960920000
2009-10-16,10850760000
2009-10-19,11043540000
2009-10-20,10993050000
2009-10-21,10965510000
2009-10-22,10956330000
2009-10-23,10676340000
2009-10-26,10391760000
2009-10-27,10166850000
2009-10-28,9822600000
2009-10-29,10120950000
2009-10-30,9753750000
2009-11-02,9840960000
2009-11-03,9964890000
2009-11-04,10332090000
2009-11-05,10552410000
2009-11-06,10451430000
2009-11-09,10534050000
2009-11-10,10529460000
2009-11-11,10827810000
2009-11-12,10869120000
2009-11-13,11071080000
2009-11-16,11176650000
2009-11-17,11291400000
2009-11-18,11195010000
2009-11-19,11006820000
2009-11-20,10942560000
2009-11-23,11020590000
2009-11-24,10855350000
2009-11-25,10905840000
2009-11-27,10768140000
2009-11-30,10653390000
2009-12-01,10887480000
2009-12-02,10919610000
2009-12-03,10878300000
2009-12-04,10924200000
2009-12-07,10937970000
2009-12-08,10584540000
2009-12-09,10869120000
2009-12-10,10781910000
2009-12-11,10979280000
2009-12-14,10937970000
2009-12-15,10873710000
2009-12-16,10795680000
2009-12-17,10598310000
2009-12-18,10676340000
2009-12-21,10896660000
2009-12-22,10924200000
2009-12-23,10993050000
2009-12-24,11084850000
2009-12-28,11004560000
2009-12-29,10958860000
2009-12-30,11196500000
2009-12-31,11219350000
2010-01-04,11438710000
2010-01-05,11269620000
2010-01-06,11498120000
2010-01-07,11283330000
2010-01-08,11425000000
2010-01-11,11324460000
2010-01-12,11306180000
2010-01-13,11662640000
2010-01-14,11726620000
2010-01-15,11534680000
2010-01-19,11635220000
2010-01-20,11680920000
2010-01-21,11790600000
2010-01-22,11415860000
2010-01-25,11466130000
2010-01-26,11594090000
2010-01-27,11767750000
2010-01-28,11548390000
2010-01-29,11370160000
2010-02-01,11667210000
2010-02-02,11731190000
2010-02-03,11626080000
2010-02-04,11329030000
2010-02-05,11242200000
2010-02-08,11278760000
2010-02-09,11374730000
2010-02-10,11283330000
2010-02-11,11484410000
2010-02-12,11562100000
2010-02-16,11799740000
2010-02-17,11977970000
2010-02-18,11959690000
2010-02-19,12064800000
2010-02-22,11959690000
2010-02-23,11712910000
2010-02-24,12032810000
2010-02-25,11763180000
2010-02-26,11712910000
2010-03-01,12060230000
2010-03-02,11799740000
2010-03-03,11818020000
2010-03-04,11818020000
2010-03-05,11786030000
2010-03-08,11831730000
2010-03-09,11776890000
2010-03-10,12238460000
2010-03-11,12115070000
2010-03-12,12174480000
2010-03-15,12124210000
2010-03-16,12206470000
2010-03-17,12526370000
2010-03-18,12466960000
2010-03-19,12567500000
2010-03-22,12604060000
2010-03-23,12896540000
2010-03-24,12873690000
2010-03-25,12741160000
2010-03-26,12483680000
2010-03-29,12501720000
2010-03-30,12578390000
2010-03-31,12393480000
2010-04-01,12447600000
2010-04-05,12650550000
2010-04-06,12754280000
2010-04-07,12871540000
2010-04-08,12925660000
2010-04-09,13101550000
2010-04-12,13011350000
2010-04-13,12821930000
2010-04-14,13164690000
2010-04-15,13092530000
2010-04-16,12848990000
2010-04-19,12781340000
2010-04-20,13236850000
2010-04-21,13042920000
2010-04-22,13065470000
2010-04-23,13336070000
2010-04-26,13575100000
2010-04-27,13169200000
2010-04-28,13872760000
2010-04-29,14571810000
2010-04-30,14486119999
2010-05-03,14815350000
2010-05-04,14247090000
2010-05-05,13778050000
2010-05-06,13083510000
2010-05-07,12618980000
2010-05-10,13327050000
2010-05-11,13687850000
2010-05-12,14350820000
2010-05-13,13746480000
2010-05-14,13074490000
2010-05-17,13205280000
2010-05-18,12600940000
2010-05-19,12740750000
2010-05-20,12357400000
2010-05-21,12596430000
2010-05-24,12695650000
2010-05-25,12646040000
2010-05-26,12515250000
2010-05-27,13182730000
2010-05-28,12997820000
2010-06-01,12632510000
2010-06-02,13110570000
2010-06-03,13155670000
2010-06-04,12686630000
2010-06-07,12127390000
2010-06-08,12122880000
2010-06-09,12298770000
2010-06-10,12704670000
2010-06-11,13002330000
2010-06-14,12934680000
2010-06-15,13051940000
2010-06-16,13029390000
2010-06-17,12970760000
2010-06-18,12997820000
2010-06-21,13245870000
2010-06-22,12970760000
2010-06-23,12907620000
2010-06-24,12465640000
2010-06-25,12232200000
2010-06-28,12103440000
2010-06-29,11388600000
2010-06-30,11268720000
2010-07-01,10926840000
2010-07-02,10913520000
2010-07-06,10829160000
2010-07-07,11246520000
2010-07-08,11033400000
2010-07-09,11135520000
2010-07-12,11224320000
2010-07-13,11508480000
2010-07-14,11344200000
2010-07-15,11339760000
2010-07-16,11264280000
2010-07-19,11322000000
2010-07-20,11317560000
2010-07-21,11304240000
2010-07-22,11437440000
2010-07-23,11561760000
2010-07-26,11925840000
2010-07-27,12063480000
2010-07-28,11885880000
2010-07-29,12023520000
2010-07-30,11988000000
2010-08-02,12134520000
2010-08-03,11939160000
2010-08-04,12378720000
2010-08-05,12321000000
2010-08-06,12463080000
2010-08-09,12627360000
2010-08-10,12423120000
2010-08-11,12072360000
2010-08-12,11837040000
2010-08-13,11868120000
2010-08-16,11810400000
2010-08-17,11877000000
2010-08-18,11903640000
2010-08-19,11797080000
2010-08-20,11646120000
2010-08-23,11313120000
2010-08-24,11202120000
2010-08-25,11273160000
2010-08-26,11122200000
2010-08-27,11073360000
2010-08-30,11064480000
2010-08-31,10886880000
2010-09-01,11144400000
2010-09-02,11446320000
2010-09-03,11748240000
2010-09-07,11495160000
2010-09-08,11819280000
2010-09-09,11561760000
2010-09-10,11699400000
2010-09-13,11877000000
2010-09-14,11939160000
2010-09-15,12067920000
2010-09-16,12023520000
2010-09-17,12138960000
2010-09-20,12454200000
2010-09-21,12609600000
2010-09-22,12520800000
2010-09-23,12436440000
2010-09-24,12991440000
2010-09-27,12862680000
2010-09-28,12915960000
2010-09-29,13182360000
2010-09-30,12973680000
2010-10-01,13244520000
2010-10-04,13062480000
2010-10-05,13235640000
2010-10-06,13284480000
2010-10-07,13133520000
2010-10-08,13297800000
2010-10-11,13493160000
2010-10-12,13377720000
2010-10-13,13564200000
2010-10-14,13621920000
2010-10-15,13670760000
2010-10-18,13688520000
2010-10-19,13639680000
2010-10-20,13812840000
2010-10-21,14088120000
2010-10-22,13941600000
2010-10-25,14079240000
2010-10-26,13910520000
2010-10-27,13759560000
2010-10-28,13941600000
2010-10-29,14065920000
2010-11-01,14061480000
2010-11-02,14105880000
2010-11-03,14261279999
2010-11-04,14518800000
2010-11-05,14696400000
2010-11-08,14976119999
2010-11-09,14598720000
2010-11-10,14572080000
2010-11-11,14274600000
2010-11-12,14150280000
2010-11-15,14057040000
2010-11-16,13768440000
2010-11-17,13755120000
2010-11-18,14065920000
2010-11-19,14194680000
2010-11-22,14070360000
2010-11-23,13746240000
2010-11-24,14097000000
2010-11-26,13928280000
2010-11-29,13684080000
2010-11-30,13506480000
2010-12-01,14176920000
2010-12-02,14696400000
2010-12-03,14674199999
2010-12-06,14567640000
2010-12-07,14816279999
2010-12-08,14896199999
2010-12-09,14998320000
2010-12-10,14896199999
2010-12-13,15073800000
2010-12-14,15420119999
2010-12-15,15442320000
2010-12-16,15486720000
2010-12-17,15690960000
2010-12-20,15615480000
2010-12-21,15611039999
2010-12-22,15730920000
2010-12-23,15819720000
2010-12-27,15620180000
2010-12-28,15487280000
2010-12-29,15518290000
2010-12-30,15620180000
2010-12-31,15682200000
2011-01-03,16054320000
2011-01-04,15726500000
2011-01-05,15589169999
2011-01-06,15567020000
2011-01-07,15606889999
2011-01-10,15890409999
2011-01-11,15885980000
2011-01-12,16036600000
2011-01-13,16094190000
2011-01-14,16204940000
2011-01-18,16293540000
2011-01-19,15961290000
2011-01-20,15956860000
2011-01-21,16147350000
2011-01-24,16453020000
2011-01-25,16417580000
2011-01-26,16413149999
2011-01-27,15979010000
2011-01-28,15730930000
2011-01-31,16049889999
2011-02-01,16479600000
2011-02-02,16395430000
2011-02-03,16200510000
2011-02-04,16342270000
2011-02-07,16377710000
2011-02-08,16497320000
2011-02-09,16718820000
2011-02-10,16873870000
2011-02-11,17059930000
2011-02-14,16997909999
2011-02-15,16608070000
2011-02-16,16674520000
2011-02-17,16785270000
2011-02-18,16709960000
2011-02-22,15992300000
2011-02-23,15602460000
2011-02-24,15722070000
2011-02-25,15810669999
2011-02-28,15965720000
2011-03-01,15943570000
2011-03-02,16067610000
2011-03-03,16280250000
2011-03-04,16293540000
2011-03-07,16089760000
2011-03-08,16049889999
2011-03-09,15682200000
2011-03-10,15172750000
2011-03-11,15349950000
2011-03-14,15141740000
2011-03-15,14898090000
2011-03-16,14322190000
2011-03-17,14601280000
2011-03-18,14703169999
2011-03-21,14946820000
2011-03-22,15137310000
2011-03-23,15124020000
2011-03-24,15345520000
2011-03-25,14914810000
2011-03-28,14975990000
2011-03-29,15120200000
2011-03-30,15142050000
2011-03-31,15216340000
2011-04-01,15303740000
2011-04-04,15233820000
2011-04-05,14975990000
2011-04-06,14674460000
2011-04-07,14823040000
2011-04-08,14823040000
2011-04-11,14722529999
2011-04-12,14726900000
2011-04-13,15251300000
2011-04-14,15412990000
2011-04-15,15561570000
2011-04-18,15404250000
2011-04-19,15343070000
2011-04-20,15609640000
2011-04-21,15295000000
2011-04-25,15238189999
2011-04-26,15308110000
2011-04-27,15500390000
2011-04-28,15465430000
2011-04-29,15666450000
2011-05-02,15819400000
2011-05-03,15749480000
2011-05-04,15561570000
2011-05-05,15845620000
2011-05-06,16182110000
2011-05-09,16256400000
2011-05-10,16562300000
2011-05-11,16426830000
2011-05-12,16474900000
2011-05-13,16033529999
2011-05-16,15985460000
2011-05-17,15740740000
2011-05-18,15823770000
2011-05-19,16051009999
2011-05-20,16208330000
2011-05-23,15893689999
2011-05-24,15644599999
2011-05-25,15557200000
2011-05-26,15753849999
2011-05-27,15976720000
2011-05-31,16094710000
2011-06-01,15989830000
2011-06-02,15963610000
2011-06-03,15780070000
2011-06-06,15880580000
2011-06-07,15688300000
2011-06-08,15378029999
2011-06-09,15517870000
2011-06-10,15295000000
2011-06-13,15404250000
2011-06-14,15513500000
2011-06-15,15098349999
2011-06-16,14792450000
2011-06-17,14783710000
2011-06-20,14989099999
2011-06-21,15281890000
2011-06-22,15264410000
2011-06-23,15076500000
2011-06-24,14734750000
2011-06-27,14709250000
2011-06-28,15066250000
2011-06-29,15397749999
2011-06-30,15623000000
2011-07-01,16107500000
2011-07-05,16150000000
2011-07-06,16120250000
2011-07-07,16247749999
2011-07-08,16035249999
2011-07-11,15606000000
2011-07-12,15278750000
2011-07-13,15295750000
2011-07-14,14994000000
2011-07-15,14960000000
2011-07-18,14653999999
2011-07-19,15023750000
2011-07-20,15355250000
2011-07-21,15372250000
2011-07-22,15474249999
2011-07-25,15410500000
2011-07-26,15444500000
2011-07-27,15045000000
2011-07-28,14722000000
2011-07-29,14632750000
2011-08-01,14284250000
2011-08-02,13961250000
2011-08-03,13867750000
2011-08-04,13136750000
2011-08-05,12958250000
2011-08-08,11912750000
2011-08-09,12342000000
2011-08-10,12082750000
2011-08-11,12847750000
2011-08-12,13034750000
2011-08-15,13391750000
2011-08-16,13166500000
2011-08-17,13090000000
2011-08-18,12138000000
2011-08-19,11938250000
2011-08-22,11904250000
2011-08-23,12325000000
2011-08-24,12592750000
2011-08-25,12303750000
2011-08-26,12605500000
2011-08-29,13200500000
2011-08-30,13226000000
2011-08-31,13013500000
2011-09-01,13005000000
2011-09-02,12456750000
2011-09-06,12223000000
2011-09-07,12601250000
2011-09-08,12435500000
2011-09-09,11938250000
2011-09-12,11878750000
2011-09-13,12286750000
2011-09-14,12520500000
2011-09-15,12690500000
2011-09-16,12529000000
2011-09-19,12448250000
2011-09-20,12104000000
2011-09-21,11985000000
2011-09-22,11840500000
2011-09-23,11870250000
2011-09-26,12031750000
2011-09-27,12227250000
2011-09-28,12299500000
2011-09-29,12371750000
2011-09-30,11959500000
2011-10-03,11581250000
2011-10-04,12027500000
2011-10-05,12282500000
2011-10-06,12699000000
2011-10-07,12537500000
2011-10-10,13068750000
2011-10-11,13043250000
2011-10-12,13965500000
2011-10-13,14360750000
2011-10-14,14556250000
2011-10-17,14424499999
2011-10-18,14679500000
2011-10-19,14152499999
2011-10-20,14071750000
2011-10-21,14394749999
2011-10-24,14819749999
2011-10-25,14441499999
2011-10-26,14751750000
2011-10-27,15593249999
2011-10-28,15444500000
2011-10-31,15108749999
2011-11-01,14717750000
2011-11-02,15091750000
2011-11-03,15189500000
2011-11-04,14921750000
2011-11-07,14951500000
2011-11-08,15206500000
2011-11-09,14428750000
2011-11-10,14390500000
2011-11-11,14722000000
2011-11-14,14658250000
2011-11-15,14726250000
2011-11-16,14560500000
2011-11-17,14233250000
2011-11-18,13982500000
2011-11-21,13629750000
2011-11-22,13315250000
2011-11-23,12890250000
2011-11-25,12796750000
2011-11-28,13124000000
2011-11-29,13209000000
2011-11-30,13476750000
2011-12-01,13294000000
2011-12-02,13353500000
2011-12-05,13625500000
2011-12-06,13901750000
2011-12-07,14050500000
2011-12-08,13672250000
2011-12-09,14033500000
2011-12-12,13587250000
2011-12-13,13238750000
2011-12-14,12890250000
2011-12-15,12864750000
2011-12-16,12941250000
2011-12-19,12652250000
2011-12-20,13226000000
2011-12-21,13005000000
2011-12-22,13255750000
2011-12-23,13298250000
2011-12-27,13230250000
2011-12-28,12958250000
2011-12-29,13226000000
2011-12-30,13155870000
2012-01-03,13441960000
2012-01-04,13480390000
2012-01-05,13629840000
2012-01-06,13817720000
2012-01-09,14009870000
2012-01-10,14586319999
2012-01-11,14633290000
2012-01-12,14812629999
2012-01-13,14710150000
2012-01-17,14885220000
2012-01-18,15363459999
2012-01-19,15645280000
2012-01-20,15384810000
2012-01-23,15333569999
2012-01-24,15248170000
2012-01-25,14808360000
2012-01-26,14761390000
